client_id,round,secagg,local_train_time_s,cpu_time_s,upload_bytes,applied_round
client3,0,1,1.246695,1.246334,248,-1
client1,0,1,0.961729,0.961491,248,-1
client2,0,1,0.974540,0.974334,248,1
client2,1,1,1.137867,1.137637,248,-1
client1,1,1,1.419848,1.415494,248,-1
client3,1,1,1.502850,1.502503,248,2
client3,2,1,1.263541,1.263174,248,-1
client2,2,1,1.558182,1.557779,248,-1
client1,2,1,1.609998,1.609538,248,3
client1,3,1,1.689744,1.689342,248,-1
client3,3,1,1.491128,1.486562,248,-1
client2,3,1,1.496871,1.496518,248,4
client2,4,1,1.366045,1.365762,248,-1
client3,4,1,1.479254,1.478889,248,-1
